id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Autumn Requiem,Elena Voss,classical,melancholic,0.25,66,0.22,0.15,0.95
12,Concrete Throne,Kasper Lowe,hip-hop,confident,0.78,96,0.62,0.85,0.08
13,Island Sway,Solar Tide,reggae,relaxed,0.55,84,0.75,0.71,0.35
14,Iron Wraith,Ashen Throne,metal,angry,0.97,168,0.25,0.35,0.03
15,Dust Road Home,Wren Calloway,folk,nostalgic,0.38,96,0.55,0.42,0.82
16,Velvet Hour,Marlow Grace,r&b,romantic,0.48,70,0.68,0.64,0.45
17,Skyline Pulse,Dexter Volt,edm,euphoric,0.95,128,0.88,0.91,0.04
18,Whiskey Window,Otis Kane,blues,melancholic,0.33,68,0.35,0.38,0.75
19,Broken Curfew,The Static Kids,punk,rebellious,0.94,172,0.45,0.55,0.05
